,Language,Framework,Database,OS,Platform,Others
160,,,,,,salesforce.com
161,python,django,"redis,mysql",,"kubernetes,docker",
162,,,,,,"information security,siem,intrusion,monitoring,vulnerability,splunk,nist,cissp"
163,php,,,,,
164,,,,,,robotic process automation
165,"swift,objective-c",,,,,
166,,,,,,"firmware,test cases,automation,user scenarios,electronics,electrical engineering,testing,jira,embedded systems"
167,,,,,,"change management,management,.net,computer science,project management,web applications,agile methodologies,scrum,itil"
168,,react.js,,,,"integration,release management,management,bootstrap,unit testing,leadership,testing,user interface,redux"
169,java,,,,,"consulting,websphere,strategy,agile methodologies"
170,,,,,linux,"ubuntu,websphere,amazon web services,ansible,tomcat,centos,weblogic,jenkins"
171,java,spring,,,,"apis,amazon s3,amazon web services,springboot,amazon ec2,microservices"
172,"java,ruby,python",,,,,"penetration testing,security,information security,research,network security,authentication,tcp,system administration,scripting,web services,threat modeling,testing,ip,automation"
173,,,,,,"static analysis,analysis,network security,computer science,distributed systems,statistics,authentication,leadership,cloud computing,safe,web services,amazon web services,cryptography"
174,,,,,,"digital media,product management"
175,"javascript,python","react.js,vue.js",,,,"amazon web services,angular,angularjs"
176,swift,,,,ios,"software architecture,leadership,rest,mobile design,mobile application development"
177,"javascript,python",django,,,,"html5,d3.js,html"
178,,,microsoft sql server,,,product management
179,"javascript,python","django,react.js,vue.js",,,,"apis,angularjs"
180,sql,,,,,"sdlc,soap,xml,data analysis,json"
181,c#,,microsoft sql server,,,object oriented design
182,"r,python",,,,,"statistical modeling,machine learning,scientific computing,applied mathematics,etl"
183,,,microsoft sql server,,,"sql server,t-sql,database development"
184,sql,,,,,"business analysis,analysis,data analysis,google analytics,microsoft excel,tableau,analytics"
185,,,,,,"program management,paas,saas"
186,,,,,,"business analysis,product management"
187,"swift,objective-c",,,,ios,"optimization,networking,seo,cocoa,open source"
188,c#,,microsoft sql server,,google cloud platform,"amazon web services,angular,object oriented design,windows azure"
189,swift,,,,ios,"sdk,object oriented programming,amazon web services,mvc,mobile applications,object oriented design,jira,mobile application development,git,jenkins"
190,,,,,android,"apis,json,git"
191,sql,,,,,"t-sql,powershell"
192,"java,c#,php",,,,,"penetration testing,.net"
193,swift,,,,ios,"sdk,object oriented programming,amazon web services,mvc,mobile applications,engineering management,object oriented design,jira,mobile application development,git,jenkins"
194,"python,java",,,,,"node.js,apache spark,big data,nosql,kafka"
195,"swift,objective-c",,,,ios,"apis,iot,json,git"
196,"java,scala,python",,,,,"apache spark,hadoop,amazon web services,apache airflow,agile methodologies,open source,scrum,apache flink"
197,"typescript,javascript,python,java",,,,,"cucumber,apis,regression testing,sdlc,smb,qa engineering,computer science,strategy,test automation,test planning,selenium,testing,functional testing,automation"
198,"java,c#,php",,,,,"penetration testing,.net"
199,python,,postgresql,,"kubernetes,google cloud platform,docker","distributed systems,golang,microservices"
200,"javascript,c#,python",,,,,"test automation,delphi"
201,"java,c#,php",,,,,"penetration testing,.net"
202,python,,postgresql,,"kubernetes,google cloud platform,docker","terraform,amazon web services,distributed systems,golang,scripting,microservices"
203,"javascript,java","spring,asp.net,react.js",,,,".net,angular,tomcat,node.js"
204,,,,,,"guidewire,weblogic,agile methodologies,websphere"
205,python,,,,,"amazon web services,apache flink,redshift"
206,,,,,,product management
207,,,,,,"project management,pmp,project planning"
208,"javascript,java","spring,react.js",,,,"springboot,rest,microservices,node.js"
209,sql,,,,,"xml,unix,calypso,unix shell scripting,trading systems"
210,,,,,linux,"communication,electronics,user interface,testing,functional testing"
211,,,,,,"management,training,.net,communication"
212,,,,,,"integration,communication,radar,rf"
213,,,,,,"devops,monitoring,reach"
214,"java,python,php",,,,"kubernetes,linux,docker","lamp,unix shell scripting,unix,amazon web services,servers,ansible,devops,chef,tomcat,shell scripting,jenkins"
215,,,,,linux,"communication,test cases,computer hardware,testing,functional testing"
216,"javascript,python","react.js,jquery",,,linux,"html5,scripting,css,json"
217,javascript,react.js,,,,
218,java,spring,"postgresql,cassandra",,,node.js
219,,,,,,"node.js,application development,communication,bootstrap,strategy,it strategy,leadership,angular,css,testing,enterprise architecture,html,business process,mobile application development,mobile testing"
220,sql,,,windows,,"vmware,network administration,monitoring,windows server,computer hardware,technical support,microsoft office,cloud storage,customer service,networking,cloud computing,troubleshooting,mac,operating systems,mac os x,storage"
221,,,,,wordpress,"digital marketing,monitoring,information technology,management,computer science,html5,marketing,html"
222,,,,,,"communication,servicenow,customer service,leadership,workday,talent management"
223,"java,c++,python,c",,,,docker,"analysis,xml,software architecture,testing"
224,,,,,,"customer service,web applications"
225,,,,,linux,"amazon web services,selenium,appium,automation"
226,"sql,python",,,,kubernetes,"microservices,web services,splunk"
227,,,,,,servicenow
228,,,,windows,"linux,docker","vmware,active directory,amazon web services,ldap,troubleshooting,openstack,red hat,nas,centos"
229,,,,,linux,"perl,unix,bash,technical support,project management,troubleshooting,itil,it operations,powershell"
230,,,microsoft sql server,,,"analysis,teradata,data warehousing,unix shell scripting,etl"
231,"java,c++",,,,,"test driven development,application development,pair programming,.net,agile methodologies"
232,,,,windows,linux,"integration,esx,application development,big data,esxi,linux kernel,ucs (unified computing system,powershell,storage,vmware,analysis,windows server,management,iis,cisco technologies,automation,active directory,operating systems,servers,system administration,virtualization,red hat"
233,,,,windows,,"business analysis,integration,analysis,research,test cases,requirements analysis,agile methodologies,project management,user acceptance testing,business requirements,requirements gathering,business process,technical writing"
234,,,,,,"power bi,business intelligence,data modeling,data visualization,windows azure"
235,,,,,"linux,docker","cd,ci,rest,cicd,jenkins"
236,"javascript,java",spring,,,,"kafka,microservices"
237,java,,,,docker,"springboot,amazon web services,microservices"
238,"java,sql,c#,python",,,,,"security,consulting,sharepoint,requirements gathering,powershell"
239,typescript,,,,,"microservices,communication,.net,html5,systems engineering,design patterns,web applications,rabbitmq"
240,"javascript,php",,,,,"html,css"
241,java,react.js,,,,"react native,springboot,.net core,.net,angular"
242,,,,,,"soap,scrum,bash,enterprise software,json,agile methodologies"
243,,,,,,"business analysis,process improvement,monitoring,testing,business requirements,business process"
244,,,,,"kubernetes,docker","soap,rest,json,jira,git"
245,sql,,microsoft sql server,windows,,"pmi,integration,esx,sccm,ldap,team leadership,troubleshooting,sql server,powershell,storage,vmware,netbackup,windows server,management,compliance,computer security,malware,itil,active directory,security,leadership,vulnerability,citrix,debugging,scom,monitoring,xendesktop,system administration,scripting,clustering,product development,data center"
246,"sql,python,java",,microsoft sql server,windows,linux,"pmi,oracle database,sql server,powershell,change management,windows server,.net,management,compliance,itil,security,information security,databases,information architecture,sharepoint,optimization,database design,servers,scripting"
247,javascript,,,,,"wireframes,user experience,visual design,css,testing,jira,user research,adobe creative suite,management,design thinking,usability testing,html,communication,graphic design,leadership,research,usability,sketch,invision,balsamiq"
248,,,,,,"testing,business requirements,open source,system architecture,analysis,system design,management,design thinking,sap,supply chain management,cloudfoundary,security,communication,leadership,vendor management,data structures,erp,gdpr,computer science,business process"
249,"java,python",,"cassandra,mysql",,,"optimization,monitoring,database design,bash,databases,database development,troubleshooting,ansible"
250,java,spring,"postgresql,oracle",,"kubernetes,docker","security,maven,springboot,databases,mvc,jpa,angular,sql server,microservices"
251,ruby,,elasticsearch,,linux,"release management,servicenow,ldap,dns,web services,jira,shell scripting,devops,xml,unix,kibana,iis,performance tuning,automation,active directory,options,communication,confluence,authentication,j2ee,ip,ip,logstash,tcp,scripting,puppet"
